O*NET-SOC Code	Element ID	Element Name	Scale ID	Data Value	Date	Domain Source
11-1011.00	1.D.3.b	Attention to Detail	WI	1.44	12/2025	AI/Expert
11-1011.00	1.D.3.c	Dependability	DR	0.00	12/2025	AI/Expert
11-1011.00	1.D.3.c	Dependability	WI	2.93	12/2025	AI/Expert
11-1011.00	1.D.3.d	Integrity	DR	0.00	12/2025	AI/Expert
11-1011.00	1.D.3.d	Integrity	WI	2.93	12/2025	AI/Expert
11-1011.00	1.D.4.a	Stress Tolerance	DR	8.00	12/2025	AI/Expert
11-1011.00	1.D.4.a	Stress Tolerance	WI	2.55	12/2025	AI/Expert
11-1011.00	1.D.4.b	Self-Control	DR	9.00	12/2025	AI/Expert
11-1011.00	1.D.4.b	Self-Control	WI	2.42	12/2025	AI/Expert
11-1021.00	1.D.1.a	Innovation	DR	0.00	12/2025	AI/Expert
11-1021.00	1.D.1.a	Innovation	WI	1.60	12/2025	AI/Expert
11-1021.00	1.D.1.b	Achievement Orientation	DR	7.00	12/2025	AI/Expert
11-1021.00	1.D.1.b	Achievement Orientation	WI	2.38	12/2025	AI/Expert
11-1021.00	1.D.1.c	Intellectual Curiosity	DR	0.00	12/2025	AI/Expert
11-1021.00	1.D.1.c	Intellectual Curiosity	WI	1.44	12/2025	AI/Expert
11-1021.00	1.D.1.d	Tolerance for Ambiguity	DR	0.00	12/2025	AI/Expert
11-1021.00	1.D.1.d	Tolerance for Ambiguity	WI	1.64	12/2025	AI/Expert
11-1021.00	1.D.1.e	Initiative	DR	1.00	12/2025	AI/Expert
11-1021.00	1.D.1.e	Initiative	WI	2.22	12/2025	AI/Expert
11-1021.00	1.D.1.f	Adaptability	DR	5.00	12/2025	AI/Expert
11-1021.00	1.D.1.f	Adaptability	WI	2.05	12/2025	AI/Expert
11-1021.00	1.D.1.g	Self-Confidence	DR	2.00	12/2025	AI/Expert
11-1021.00	1.D.1.g	Self-Confidence	WI	2.28	12/2025	AI/Expert
11-1021.00	1.D.1.h	Perseverance	DR	4.00	12/2025	AI/Expert
11-1021.00	1.D.1.h	Perseverance	WI	2.19	12/2025	AI/Expert
11-1021.00	1.D.1.i	Leadership Orientation	DR	3.00	12/2025	AI/Expert
11-1021.00	1.D.1.i	Leadership Orientation	WI	2.93	12/2025	AI/Expert
11-1021.00	1.D.2.a	Humility	DR	0.00	12/2025	AI/Expert
11-1021.00	1.D.2.a	Humility	WI	0.12	12/2025	AI/Expert
11-1021.00	1.D.2.b	Sincerity	DR	0.00	12/2025	AI/Expert
11-1021.00	1.D.2.b	Sincerity	WI	0.94	12/2025	AI/Expert
11-1021.00	1.D.2.c	Empathy	DR	0.00	12/2025	AI/Expert
11-1021.00	1.D.2.c	Empathy	WI	1.22	12/2025	AI/Expert
11-1021.00	1.D.2.d	Cooperation	DR	0.00	12/2025	AI/Expert
11-1021.00	1.D.2.d	Cooperation	WI	1.84	12/2025	AI/Expert
11-1021.00	1.D.2.e	Optimism	DR	0.00	12/2025	AI/Expert
11-1021.00	1.D.2.e	Optimism	WI	1.39	12/2025	AI/Expert
11-1021.00	1.D.2.f	Social Orientation	DR	0.00	12/2025	AI/Expert
11-1021.00	1.D.2.f	Social Orientation	WI	1.97	12/2025	AI/Expert
11-1021.00	1.D.3.a	Cautiousness	DR	0.00	12/2025	AI/Expert
11-1021.00	1.D.3.a	Cautiousness	WI	1.32	12/2025	AI/Expert
11-1021.00	1.D.3.b	Attention to Detail	DR	0.00	12/2025	AI/Expert
11-1021.00	1.D.3.b	Attention to Detail	WI	1.74	12/2025	AI/Expert
11-1021.00	1.D.3.c	Dependability	DR	9.00	12/2025	AI/Expert
11-1021.00	1.D.3.c	Dependability	WI	2.65	12/2025	AI/Expert
11-1021.00	1.D.3.d	Integrity	DR	8.00	12/2025	AI/Expert
11-1021.00	1.D.3.d	Integrity	WI	2.51	12/2025	AI/Expert
11-1021.00	1.D.4.a	Stress Tolerance	DR	0.00	12/2025	AI/Expert
11-1021.00	1.D.4.a	Stress Tolerance	WI	1.99	12/2025	AI/Expert
11-1021.00	1.D.4.b	Self-Control	DR	6.00	12/2025	AI/Expert
11-1021.00	1.D.4.b	Self-Control	WI	2.14	12/2025	AI/Expert
11-1031.00	1.D.1.a	Innovation	DR	0.00	12/2025	AI/Expert
11-1031.00	1.D.1.a	Innovation	WI	1.72	12/2025	AI/Expert
11-1031.00	1.D.1.b	Achievement Orientation	DR	10.00	12/2025	AI/Expert
11-1031.00	1.D.1.b	Achievement Orientation	WI	2.28	12/2025	AI/Expert
11-1031.00	1.D.1.c	Intellectual Curiosity	DR	0.00	12/2025	AI/Expert
11-1031.00	1.D.1.c	Intellectual Curiosity	WI	2.41	12/2025	AI/Expert
11-1031.00	1.D.1.d	Tolerance for Ambiguity	DR	1.00	12/2025	AI/Expert
11-1031.00	1.D.1.d	Tolerance for Ambiguity	WI	2.03	12/2025	AI/Expert
11-1031.00	1.D.1.e	Initiative	DR	2.00	12/2025	AI/Expert
11-1031.00	1.D.1.e	Initiative	WI	2.22	12/2025	AI/Expert
11-1031.00	1.D.1.f	Adaptability	DR	5.00	12/2025	AI/Expert
11-1031.00	1.D.1.f	Adaptability	WI	2.38	12/2025	AI/Expert
11-1031.00	1.D.1.g	Self-Confidence	DR	3.00	12/2025	AI/Expert
11-1031.00	1.D.1.g	Self-Confidence	WI	2.44	12/2025	AI/Expert
11-1031.00	1.D.1.h	Perseverance	DR	6.00	12/2025	AI/Expert
11-1031.00	1.D.1.h	Perseverance	WI	2.34	12/2025	AI/Expert
11-1031.00	1.D.1.i	Leadership Orientation	DR	4.00	12/2025	AI/Expert
11-1031.00	1.D.1.i	Leadership Orientation	WI	3.00	12/2025	AI/Expert
11-1031.00	1.D.2.a	Humility	DR	0.00	12/2025	AI/Expert
11-1031.00	1.D.2.a	Humility	WI	-0.10	12/2025	AI/Expert
11-1031.00	1.D.2.b	Sincerity	DR	0.00	12/2025	AI/Expert
11-1031.00	1.D.2.b	Sincerity	WI	1.07	12/2025	AI/Expert
11-1031.00	1.D.2.c	Empathy	DR	0.00	12/2025	AI/Expert
11-1031.00	1.D.2.c	Empathy	WI	1.77	12/2025	AI/Expert
11-1031.00	1.D.2.d	Cooperation	DR	0.00	12/2025	AI/Expert
11-1031.00	1.D.2.d	Cooperation	WI	2.18	12/2025	AI/Expert
11-1031.00	1.D.2.e	Optimism	DR	0.00	12/2025	AI/Expert
11-1031.00	1.D.2.e	Optimism	WI	1.42	12/2025	AI/Expert
11-1031.00	1.D.2.f	Social Orientation	DR	9.00	12/2025	AI/Expert
11-1031.00	1.D.2.f	Social Orientation	WI	2.54	12/2025	AI/Expert
11-1031.00	1.D.3.a	Cautiousness	DR	0.00	12/2025	AI/Expert
11-1031.00	1.D.3.a	Cautiousness	WI	1.00	12/2025	AI/Expert
11-1031.00	1.D.3.b	Attention to Detail	DR	0.00	12/2025	AI/Expert
11-1031.00	1.D.3.b	Attention to Detail	WI	1.47	12/2025	AI/Expert
11-1031.00	1.D.3.c	Dependability	DR	0.00	12/2025	AI/Expert
11-1031.00	1.D.3.c	Dependability	WI	2.65	12/2025	AI/Expert
11-1031.00	1.D.3.d	Integrity	DR	0.00	12/2025	AI/Expert
11-1031.00	1.D.3.d	Integrity	WI	2.93	12/2025	AI/Expert
11-1031.00	1.D.4.a	Stress Tolerance	DR	7.00	12/2025	AI/Expert
11-1031.00	1.D.4.a	Stress Tolerance	WI	2.43	12/2025	AI/Expert
11-1031.00	1.D.4.b	Self-Control	DR	8.00	12/2025	AI/Expert
11-1031.00	1.D.4.b	Self-Control	WI	2.30	12/2025	AI/Expert
11-2011.00	1.D.1.a	Innovation	DR	3.00	12/2025	AI/Expert
11-2011.00	1.D.1.a	Innovation	WI	2.48	12/2025	AI/Expert
11-2011.00	1.D.1.b	Achievement Orientation	DR	6.00	12/2025	AI/Expert
11-2011.00	1.D.1.b	Achievement Orientation	WI	2.31	12/2025	AI/Expert
11-2011.00	1.D.1.c	Intellectual Curiosity	DR	0.00	12/2025	AI/Expert
11-2011.00	1.D.1.c	Intellectual Curiosity	WI	1.44	12/2025	AI/Expert
11-2011.00	1.D.1.d	Tolerance for Ambiguity	DR	0.00	12/2025	AI/Expert
11-2011.00	1.D.1.d	Tolerance for Ambiguity	WI	1.72	12/2025	AI/Expert
11-2011.00	1.D.1.e	Initiative	DR	0.00	12/2025	AI/Expert
11-2011.00	1.D.1.e	Initiative	WI	1.96	12/2025	AI/Expert
11-2011.00	1.D.1.f	Adaptability	DR	4.00	12/2025	AI/Expert
11-2011.00	1.D.1.f	Adaptability	WI	2.13	12/2025	AI/Expert
11-2011.00	1.D.1.g	Self-Confidence	DR	1.00	12/2025	AI/Expert
11-2011.00	1.D.1.g	Self-Confidence	WI	2.24	12/2025	AI/Expert
11-2011.00	1.D.1.h	Perseverance	DR	0.00	12/2025	AI/Expert
11-2011.00	1.D.1.h	Perseverance	WI	1.77	12/2025	AI/Expert
11-2011.00	1.D.1.i	Leadership Orientation	DR	2.00	12/2025	AI/Expert
11-2011.00	1.D.1.i	Leadership Orientation	WI	2.52	12/2025	AI/Expert
11-2011.00	1.D.2.a	Humility	DR	0.00	12/2025	AI/Expert
11-2011.00	1.D.2.a	Humility	WI	-0.73	12/2025	AI/Expert
11-2011.00	1.D.2.b	Sincerity	DR	0.00	12/2025	AI/Expert
11-2011.00	1.D.2.b	Sincerity	WI	0.57	12/2025	AI/Expert
11-2011.00	1.D.2.c	Empathy	DR	0.00	12/2025	AI/Expert
11-2011.00	1.D.2.c	Empathy	WI	0.95	12/2025	AI/Expert
11-2011.00	1.D.2.d	Cooperation	DR	0.00	12/2025	AI/Expert
11-2011.00	1.D.2.d	Cooperation	WI	1.84	12/2025	AI/Expert
11-2011.00	1.D.2.e	Optimism	DR	0.00	12/2025	AI/Expert
11-2011.00	1.D.2.e	Optimism	WI	1.63	12/2025	AI/Expert
11-2011.00	1.D.2.f	Social Orientation	DR	5.00	12/2025	AI/Expert
11-2011.00	1.D.2.f	Social Orientation	WI	2.45	12/2025	AI/Expert
11-2011.00	1.D.3.a	Cautiousness	DR	0.00	12/2025	AI/Expert
11-2011.00	1.D.3.a	Cautiousness	WI	-0.44	12/2025	AI/Expert
11-2011.00	1.D.3.b	Attention to Detail	DR	0.00	12/2025	AI/Expert
11-2011.00	1.D.3.b	Attention to Detail	WI	1.86	12/2025	AI/Expert
11-2011.00	1.D.3.c	Dependability	DR	7.00	12/2025	AI/Expert
11-2011.00	1.D.3.c	Dependability	WI	2.22	12/2025	AI/Expert
11-2011.00	1.D.3.d	Integrity	DR	0.00	12/2025	AI/Expert
11-2011.00	1.D.3.d	Integrity	WI	1.45	12/2025	AI/Expert
11-2011.00	1.D.4.a	Stress Tolerance	DR	0.00	12/2025	AI/Expert
11-2011.00	1.D.4.a	Stress Tolerance	WI	1.80	12/2025	AI/Expert
11-2011.00	1.D.4.b	Self-Control	DR	0.00	12/2025	AI/Expert
11-2011.00	1.D.4.b	Self-Control	WI	1.37	12/2025	AI/Expert
11-2021.00	1.D.1.a	Innovation	DR	4.00	12/2025	AI/Expert
11-2021.00	1.D.1.a	Innovation	WI	2.48	12/2025	AI/Expert
11-2021.00	1.D.1.b	Achievement Orientation	DR	7.00	12/2025	AI/Expert
11-2021.00	1.D.1.b	Achievement Orientation	WI	2.38	12/2025	AI/Expert
11-2021.00	1.D.1.c	Intellectual Curiosity	DR	0.00	12/2025	AI/Expert
11-2021.00	1.D.1.c	Intellectual Curiosity	WI	1.97	12/2025	AI/Expert
11-2021.00	1.D.1.d	Tolerance for Ambiguity	DR	0.00	12/2025	AI/Expert
11-2021.00	1.D.1.d	Tolerance for Ambiguity	WI	1.72	12/2025	AI/Expert
11-2021.00	1.D.1.e	Initiative	DR	1.00	12/2025	AI/Expert
11-2021.00	1.D.1.e	Initiative	WI	2.03	12/2025	AI/Expert
11-2021.00	1.D.1.f	Adaptability	DR	5.00	12/2025	AI/Expert
11-2021.00	1.D.1.f	Adaptability	WI	2.30	12/2025	AI/Expert
11-2021.00	1.D.1.g	Self-Confidence	DR	2.00	12/2025	AI/Expert
11-2021.00	1.D.1.g	Self-Confidence	WI	2.20	12/2025	AI/Expert
11-2021.00	1.D.1.h	Perseverance	DR	0.00	12/2025	AI/Expert
11-2021.00	1.D.1.h	Perseverance	WI	1.87	12/2025	AI/Expert
11-2021.00	1.D.1.i	Leadership Orientation	DR	3.00	12/2025	AI/Expert
11-2021.00	1.D.1.i	Leadership Orientation	WI	2.40	12/2025	AI/Expert
11-2021.00	1.D.2.a	Humility	DR	0.00	12/2025	AI/Expert
11-2021.00	1.D.2.a	Humility	WI	-0.50	12/2025	AI/Expert
11-2021.00	1.D.2.b	Sincerity	DR	0.00	12/2025	AI/Expert
11-2021.00	1.D.2.b	Sincerity	WI	0.62	12/2025	AI/Expert
11-2021.00	1.D.2.c	Empathy	DR	0.00	12/2025	AI/Expert
11-2021.00	1.D.2.c	Empathy	WI	1.05	12/2025	AI/Expert
11-2021.00	1.D.2.d	Cooperation	DR	0.00	12/2025	AI/Expert
11-2021.00	1.D.2.d	Cooperation	WI	1.50	12/2025	AI/Expert
11-2021.00	1.D.2.e	Optimism	DR	0.00	12/2025	AI/Expert
11-2021.00	1.D.2.e	Optimism	WI	1.46	12/2025	AI/Expert
11-2021.00	1.D.2.f	Social Orientation	DR	6.00	12/2025	AI/Expert
11-2021.00	1.D.2.f	Social Orientation	WI	2.20	12/2025	AI/Expert
11-2021.00	1.D.3.a	Cautiousness	DR	0.00	12/2025	AI/Expert
11-2021.00	1.D.3.a	Cautiousness	WI	0.32	12/2025	AI/Expert
11-2021.00	1.D.3.b	Attention to Detail	DR	0.00	12/2025	AI/Expert
11-2021.00	1.D.3.b	Attention to Detail	WI	1.62	12/2025	AI/Expert
11-2021.00	1.D.3.c	Dependability	DR	8.00	12/2025	AI/Expert
11-2021.00	1.D.3.c	Dependability	WI	2.14	12/2025	AI/Expert
11-2021.00	1.D.3.d	Integrity	DR	0.00	12/2025	AI/Expert
11-2021.00	1.D.3.d	Integrity	WI	1.73	12/2025	AI/Expert
11-2021.00	1.D.4.a	Stress Tolerance	DR	0.00	12/2025	AI/Expert
11-2021.00	1.D.4.a	Stress Tolerance	WI	1.80	12/2025	AI/Expert
11-2021.00	1.D.4.b	Self-Control	DR	0.00	12/2025	AI/Expert
11-2021.00	1.D.4.b	Self-Control	WI	1.43	12/2025	AI/Expert
11-2022.00	1.D.1.a	Innovation	DR	0.00	12/2025	AI/Expert
11-2022.00	1.D.1.a	Innovation	WI	1.47	12/2025	AI/Expert
11-2022.00	1.D.1.b	Achievement Orientation	DR	7.00	12/2025	AI/Expert
11-2022.00	1.D.1.b	Achievement Orientation	WI	2.45	12/2025	AI/Expert
11-2022.00	1.D.1.c	Intellectual Curiosity	DR	0.00	12/2025	AI/Expert
11-2022.00	1.D.1.c	Intellectual Curiosity	WI	1.17	12/2025	AI/Expert
11-2022.00	1.D.1.d	Tolerance for Ambiguity	DR	0.00	12/2025	AI/Expert
11-2022.00	1.D.1.d	Tolerance for Ambiguity	WI	1.51	12/2025	AI/Expert
11-2022.00	1.D.1.e	Initiative	DR	1.00	12/2025	AI/Expert
11-2022.00	1.D.1.e	Initiative	WI	2.07	12/2025	AI/Expert
11-2022.00	1.D.1.f	Adaptability	DR	5.00	12/2025	AI/Expert
11-2022.00	1.D.1.f	Adaptability	WI	2.02	12/2025	AI/Expert
11-2022.00	1.D.1.g	Self-Confidence	DR	2.00	12/2025	AI/Expert
11-2022.00	1.D.1.g	Self-Confidence	WI	2.40	12/2025	AI/Expert
11-2022.00	1.D.1.h	Perseverance	DR	4.00	12/2025	AI/Expert
11-2022.00	1.D.1.h	Perseverance	WI	2.46	12/2025	AI/Expert
11-2022.00	1.D.1.i	Leadership Orientation	DR	3.00	12/2025	AI/Expert
11-2022.00	1.D.1.i	Leadership Orientation	WI	2.71	12/2025	AI/Expert
11-2022.00	1.D.2.a	Humility	DR	0.00	12/2025	AI/Expert
11-2022.00	1.D.2.a	Humility	WI	-0.54	12/2025	AI/Expert
11-2022.00	1.D.2.b	Sincerity	DR	0.00	12/2025	AI/Expert
11-2022.00	1.D.2.b	Sincerity	WI	0.94	12/2025	AI/Expert
11-2022.00	1.D.2.c	Empathy	DR	0.00	12/2025	AI/Expert
11-2022.00	1.D.2.c	Empathy	WI	1.35	12/2025	AI/Expert
11-2022.00	1.D.2.d	Cooperation	DR	0.00	12/2025	AI/Expert
11-2022.00	1.D.2.d	Cooperation	WI	1.77	12/2025	AI/Expert
11-2022.00	1.D.2.e	Optimism	DR	0.00	12/2025	AI/Expert
11-2022.00	1.D.2.e	Optimism	WI	1.71	12/2025	AI/Expert
11-2022.00	1.D.2.f	Social Orientation	DR	6.00	12/2025	AI/Expert
11-2022.00	1.D.2.f	Social Orientation	WI	2.54	12/2025	AI/Expert
11-2022.00	1.D.3.a	Cautiousness	DR	0.00	12/2025	AI/Expert
11-2022.00	1.D.3.a	Cautiousness	WI	0.24	12/2025	AI/Expert
11-2022.00	1.D.3.b	Attention to Detail	DR	0.00	12/2025	AI/Expert
11-2022.00	1.D.3.b	Attention to Detail	WI	1.67	12/2025	AI/Expert
11-2022.00	1.D.3.c	Dependability	DR	9.00	12/2025	AI/Expert
11-2022.00	1.D.3.c	Dependability	WI	2.47	12/2025	AI/Expert
11-2022.00	1.D.3.d	Integrity	DR	8.00	12/2025	AI/Expert
11-2022.00	1.D.3.d	Integrity	WI	2.06	12/2025	AI/Expert
11-2022.00	1.D.4.a	Stress Tolerance	DR	0.00	12/2025	AI/Expert
11-2022.00	1.D.4.a	Stress Tolerance	WI	1.93	12/2025	AI/Expert
11-2022.00	1.D.4.b	Self-Control	DR	0.00	12/2025	AI/Expert
11-2022.00	1.D.4.b	Self-Control	WI	1.91	12/2025	AI/Expert
11-2032.00	1.D.1.a	Innovation	DR	6.00	12/2025	AI/Expert
11-2032.00	1.D.1.a	Innovation	WI	2.15	12/2025	AI/Expert
11-2032.00	1.D.1.b	Achievement Orientation	DR	10.00	12/2025	AI/Expert
11-2032.00	1.D.1.b	Achievement Orientation	WI	2.21	12/2025	AI/Expert
11-2032.00	1.D.1.c	Intellectual Curiosity	DR	0.00	12/2025	AI/Expert
11-2032.00	1.D.1.c	Intellectual Curiosity	WI	1.57	12/2025	AI/Expert
11-2032.00	1.D.1.d	Tolerance for Ambiguity	DR	0.00	12/2025	AI/Expert
11-2032.00	1.D.1.d	Tolerance for Ambiguity	WI	1.74	12/2025	AI/Expert
11-2032.00	1.D.1.e	Initiative	DR	1.00	12/2025	AI/Expert
11-2032.00	1.D.1.e	Initiative	WI	2.11	12/2025	AI/Expert
11-2032.00	1.D.1.f	Adaptability	DR	5.00	12/2025	AI/Expert
11-2032.00	1.D.1.f	Adaptability	WI	2.30	12/2025	AI/Expert
11-2032.00	1.D.1.g	Self-Confidence	DR	2.00	12/2025	AI/Expert
11-2032.00	1.D.1.g	Self-Confidence	WI	2.40	12/2025	AI/Expert
11-2032.00	1.D.1.h	Perseverance	DR	0.00	12/2025	AI/Expert
11-2032.00	1.D.1.h	Perseverance	WI	1.97	12/2025	AI/Expert
11-2032.00	1.D.1.i	Leadership Orientation	DR	4.00	12/2025	AI/Expert
11-2032.00	1.D.1.i	Leadership Orientation	WI	2.46	12/2025	AI/Expert
11-2032.00	1.D.2.a	Humility	DR	0.00	12/2025	AI/Expert
11-2032.00	1.D.2.a	Humility	WI	-0.43	12/2025	AI/Expert
11-2032.00	1.D.2.b	Sincerity	DR	0.00	12/2025	AI/Expert
11-2032.00	1.D.2.b	Sincerity	WI	1.55	12/2025	AI/Expert
11-2032.00	1.D.2.c	Empathy	DR	0.00	12/2025	AI/Expert
11-2032.00	1.D.2.c	Empathy	WI	1.77	12/2025	AI/Expert
11-2032.00	1.D.2.d	Cooperation	DR	0.00	12/2025	AI/Expert
11-2032.00	1.D.2.d	Cooperation	WI	2.69	12/2025	AI/Expert
11-2032.00	1.D.2.e	Optimism	DR	3.00	12/2025	AI/Expert
11-2032.00	1.D.2.e	Optimism	WI	2.22	12/2025	AI/Expert
11-2032.00	1.D.2.f	Social Orientation	DR	9.00	12/2025	AI/Expert
11-2032.00	1.D.2.f	Social Orientation	WI	2.60	12/2025	AI/Expert
11-2032.00	1.D.3.a	Cautiousness	DR	0.00	12/2025	AI/Expert
11-2032.00	1.D.3.a	Cautiousness	WI	0.90	12/2025	AI/Expert
11-2032.00	1.D.3.b	Attention to Detail	DR	0.00	12/2025	AI/Expert
11-2032.00	1.D.3.b	Attention to Detail	WI	1.89	12/2025	AI/Expert
11-2032.00	1.D.3.c	Dependability	DR	0.00	12/2025	AI/Expert
11-2032.00	1.D.3.c	Dependability	WI	2.56	12/2025	AI/Expert
11-2032.00	1.D.3.d	Integrity	DR	0.00	12/2025	AI/Expert
11-2032.00	1.D.3.d	Integrity	WI	2.32	12/2025	AI/Expert
11-2032.00	1.D.4.a	Stress Tolerance	DR	7.00	12/2025	AI/Expert
11-2032.00	1.D.4.a	Stress Tolerance	WI	2.21	12/2025	AI/Expert
11-2032.00	1.D.4.b	Self-Control	DR	8.00	12/2025	AI/Expert
11-2032.00	1.D.4.b	Self-Control	WI	2.18	12/2025	AI/Expert
11-2033.00	1.D.1.a	Innovation	DR	0.00	12/2025	AI/Expert
11-2033.00	1.D.1.a	Innovation	WI	1.47	12/2025	AI/Expert
11-2033.00	1.D.1.b	Achievement Orientation	DR	6.00	12/2025	AI/Expert
11-2033.00	1.D.1.b	Achievement Orientation	WI	2.91	12/2025	AI/Expert
11-2033.00	1.D.1.c	Intellectual Curiosity	DR	0.00	12/2025	AI/Expert
11-2033.00	1.D.1.c	Intellectual Curiosity	WI	1.44	12/2025	AI/Expert
11-2033.00	1.D.1.d	Tolerance for Ambiguity	DR	0.00	12/2025	AI/Expert
11-2033.00	1.D.1.d	Tolerance for Ambiguity	WI	1.51	12/2025	AI/Expert
11-2033.00	1.D.1.e	Initiative	DR	1.00	12/2025	AI/Expert
11-2033.00	1.D.1.e	Initiative	WI	2.07	12/2025	AI/Expert
11-2033.00	1.D.1.f	Adaptability	DR	0.00	12/2025	AI/Expert
11-2033.00	1.D.1.f	Adaptability	WI	1.79	12/2025	AI/Expert
11-2033.00	1.D.1.g	Self-Confidence	DR	0.00	12/2025	AI/Expert
11-2033.00	1.D.1.g	Self-Confidence	WI	1.57	12/2025	AI/Expert
11-2033.00	1.D.1.h	Perseverance	DR	4.00	12/2025	AI/Expert
11-2033.00	1.D.1.h	Perseverance	WI	2.12	12/2025	AI/Expert
11-2033.00	1.D.1.i	Leadership Orientation	DR	3.00	12/2025	AI/Expert
11-2033.00	1.D.1.i	Leadership Orientation	WI	2.37	12/2025	AI/Expert
11-2033.00	1.D.2.a	Humility	DR	0.00	12/2025	AI/Expert
11-2033.00	1.D.2.a	Humility	WI	-0.67	12/2025	AI/Expert
11-2033.00	1.D.2.b	Sincerity	DR	0.00	12/2025	AI/Expert
11-2033.00	1.D.2.b	Sincerity	WI	1.90	12/2025	AI/Expert
11-2033.00	1.D.2.c	Empathy	DR	0.00	12/2025	AI/Expert
11-2033.00	1.D.2.c	Empathy	WI	1.86	12/2025	AI/Expert
11-2033.00	1.D.2.d	Cooperation	DR	7.00	12/2025	AI/Expert
11-2033.00	1.D.2.d	Cooperation	WI	2.30	12/2025	AI/Expert
11-2033.00	1.D.2.e	Optimism	DR	2.00	12/2025	AI/Expert
11-2033.00	1.D.2.e	Optimism	WI	2.10	12/2025	AI/Expert
11-2033.00	1.D.2.f	Social Orientation	DR	5.00	12/2025	AI/Expert
11-2033.00	1.D.2.f	Social Orientation	WI	2.81	12/2025	AI/Expert
11-2033.00	1.D.3.a	Cautiousness	DR	0.00	12/2025	AI/Expert
11-2033.00	1.D.3.a	Cautiousness	WI	0.06	12/2025	AI/Expert
11-2033.00	1.D.3.b	Attention to Detail	DR	0.00	12/2025	AI/Expert
11-2033.00	1.D.3.b	Attention to Detail	WI	1.76	12/2025	AI/Expert
11-2033.00	1.D.3.c	Dependability	DR	9.00	12/2025	AI/Expert
11-2033.00	1.D.3.c	Dependability	WI	2.47	12/2025	AI/Expert
11-2033.00	1.D.3.d	Integrity	DR	8.00	12/2025	AI/Expert
11-2033.00	1.D.3.d	Integrity	WI	2.51	12/2025	AI/Expert
11-2033.00	1.D.4.a	Stress Tolerance	DR	0.00	12/2025	AI/Expert
11-2033.00	1.D.4.a	Stress Tolerance	WI	0.72	12/2025	AI/Expert
11-2033.00	1.D.4.b	Self-Control	DR	0.00	12/2025	AI/Expert
11-2033.00	1.D.4.b	Self-Control	WI	1.91	12/2025	AI/Expert
11-3012.00	1.D.1.a	Innovation	DR	0.00	12/2025	AI/Expert
11-3012.00	1.D.1.a	Innovation	WI	1.17	12/2025	AI/Expert
11-3012.00	1.D.1.b	Achievement Orientation	DR	0.00	12/2025	AI/Expert
11-3012.00	1.D.1.b	Achievement Orientation	WI	1.77	12/2025	AI/Expert
