O*NET-SOC Code	Element ID	Element Name	Scale ID	Data Value	Date	Domain Source
11-2011.00	1.B.1.f	Conventional	OI	4.30	11/2023	Machine Learning
11-2011.00	1.B.1.g	First Interest High-Point	IH	5.00	11/2023	Machine Learning
11-2011.00	1.B.1.h	Second Interest High-Point	IH	6.00	11/2023	Machine Learning
11-2011.00	1.B.1.i	Third Interest High-Point	IH	3.00	11/2023	Machine Learning
11-2021.00	1.B.1.a	Realistic	OI	1.00	11/2023	Machine Learning
11-2021.00	1.B.1.b	Investigative	OI	2.90	11/2023	Machine Learning
11-2021.00	1.B.1.c	Artistic	OI	2.45	11/2023	Machine Learning
11-2021.00	1.B.1.d	Social	OI	2.82	11/2023	Machine Learning
11-2021.00	1.B.1.e	Enterprising	OI	7.00	11/2023	Machine Learning
11-2021.00	1.B.1.f	Conventional	OI	4.70	11/2023	Machine Learning
11-2021.00	1.B.1.g	First Interest High-Point	IH	5.00	11/2023	Machine Learning
11-2021.00	1.B.1.h	Second Interest High-Point	IH	6.00	11/2023	Machine Learning
11-2021.00	1.B.1.i	Third Interest High-Point	IH	0.00	11/2023	Machine Learning
11-2022.00	1.B.1.a	Realistic	OI	1.49	11/2023	Machine Learning
11-2022.00	1.B.1.b	Investigative	OI	1.66	11/2023	Machine Learning
11-2022.00	1.B.1.c	Artistic	OI	1.31	11/2023	Machine Learning
11-2022.00	1.B.1.d	Social	OI	3.29	11/2023	Machine Learning
11-2022.00	1.B.1.e	Enterprising	OI	7.00	11/2023	Machine Learning
11-2022.00	1.B.1.f	Conventional	OI	5.58	11/2023	Machine Learning
11-2022.00	1.B.1.g	First Interest High-Point	IH	5.00	11/2023	Machine Learning
11-2022.00	1.B.1.h	Second Interest High-Point	IH	6.00	11/2023	Machine Learning
11-2022.00	1.B.1.i	Third Interest High-Point	IH	0.00	11/2023	Machine Learning
11-2032.00	1.B.1.a	Realistic	OI	1.00	11/2023	Machine Learning
11-2032.00	1.B.1.b	Investigative	OI	2.35	11/2023	Machine Learning
11-2032.00	1.B.1.c	Artistic	OI	3.68	11/2023	Machine Learning
11-2032.00	1.B.1.d	Social	OI	4.14	11/2023	Machine Learning
11-2032.00	1.B.1.e	Enterprising	OI	7.00	11/2023	Machine Learning
11-2032.00	1.B.1.f	Conventional	OI	4.39	11/2023	Machine Learning
11-2032.00	1.B.1.g	First Interest High-Point	IH	5.00	11/2023	Machine Learning
11-2032.00	1.B.1.h	Second Interest High-Point	IH	6.00	11/2023	Machine Learning
11-2032.00	1.B.1.i	Third Interest High-Point	IH	4.00	11/2023	Machine Learning
11-2033.00	1.B.1.a	Realistic	OI	1.00	11/2023	Machine Learning
11-2033.00	1.B.1.b	Investigative	OI	2.41	11/2023	Machine Learning
11-2033.00	1.B.1.c	Artistic	OI	2.67	11/2023	Machine Learning
11-2033.00	1.B.1.d	Social	OI	3.75	11/2023	Machine Learning
11-2033.00	1.B.1.e	Enterprising	OI	7.00	11/2023	Machine Learning
11-2033.00	1.B.1.f	Conventional	OI	4.72	11/2023	Machine Learning
11-2033.00	1.B.1.g	First Interest High-Point	IH	5.00	11/2023	Machine Learning
11-2033.00	1.B.1.h	Second Interest High-Point	IH	6.00	11/2023	Machine Learning
11-2033.00	1.B.1.i	Third Interest High-Point	IH	4.00	11/2023	Machine Learning
11-3012.00	1.B.1.a	Realistic	OI	1.59	11/2023	Machine Learning
11-3012.00	1.B.1.b	Investigative	OI	2.03	11/2023	Machine Learning
11-3012.00	1.B.1.c	Artistic	OI	1.01	11/2023	Machine Learning
11-3012.00	1.B.1.d	Social	OI	3.71	11/2023	Machine Learning
11-3012.00	1.B.1.e	Enterprising	OI	6.51	11/2023	Machine Learning
11-3012.00	1.B.1.f	Conventional	OI	6.43	11/2023	Machine Learning
11-3012.00	1.B.1.g	First Interest High-Point	IH	5.00	11/2023	Machine Learning
11-3012.00	1.B.1.h	Second Interest High-Point	IH	6.00	11/2023	Machine Learning
11-3012.00	1.B.1.i	Third Interest High-Point	IH	4.00	11/2023	Machine Learning
11-3013.00	1.B.1.a	Realistic	OI	3.93	11/2023	Machine Learning
11-3013.00	1.B.1.b	Investigative	OI	2.52	11/2023	Machine Learning
11-3013.00	1.B.1.c	Artistic	OI	1.64	11/2023	Machine Learning
11-3013.00	1.B.1.d	Social	OI	3.59	11/2023	Machine Learning
11-3013.00	1.B.1.e	Enterprising	OI	5.54	11/2023	Machine Learning
11-3013.00	1.B.1.f	Conventional	OI	5.41	11/2023	Machine Learning
11-3013.00	1.B.1.g	First Interest High-Point	IH	5.00	11/2023	Machine Learning
11-3013.00	1.B.1.h	Second Interest High-Point	IH	6.00	11/2023	Machine Learning
11-3013.00	1.B.1.i	Third Interest High-Point	IH	1.00	11/2023	Machine Learning
11-3013.01	1.B.1.a	Realistic	OI	3.40	11/2023	Machine Learning
11-3013.01	1.B.1.b	Investigative	OI	3.71	11/2023	Machine Learning
11-3013.01	1.B.1.c	Artistic	OI	1.29	11/2023	Machine Learning
11-3013.01	1.B.1.d	Social	OI	2.75	11/2023	Machine Learning
11-3013.01	1.B.1.e	Enterprising	OI	5.60	11/2023	Machine Learning
11-3013.01	1.B.1.f	Conventional	OI	5.39	11/2023	Machine Learning
11-3013.01	1.B.1.g	First Interest High-Point	IH	5.00	11/2023	Machine Learning
11-3013.01	1.B.1.h	Second Interest High-Point	IH	6.00	11/2023	Machine Learning
11-3013.01	1.B.1.i	Third Interest High-Point	IH	0.00	11/2023	Machine Learning
11-3021.00	1.B.1.a	Realistic	OI	2.56	11/2023	Machine Learning
11-3021.00	1.B.1.b	Investigative	OI	4.42	11/2023	Machine Learning
11-3021.00	1.B.1.c	Artistic	OI	1.50	11/2023	Machine Learning
11-3021.00	1.B.1.d	Social	OI	2.41	11/2023	Machine Learning
11-3021.00	1.B.1.e	Enterprising	OI	5.09	11/2023	Machine Learning
11-3021.00	1.B.1.f	Conventional	OI	5.72	11/2023	Machine Learning
11-3021.00	1.B.1.g	First Interest High-Point	IH	6.00	11/2023	Machine Learning
11-3021.00	1.B.1.h	Second Interest High-Point	IH	5.00	11/2023	Machine Learning
11-3021.00	1.B.1.i	Third Interest High-Point	IH	2.00	11/2023	Machine Learning
11-3031.00	1.B.1.a	Realistic	OI	1.22	11/2023	Machine Learning
11-3031.00	1.B.1.b	Investigative	OI	2.45	11/2023	Machine Learning
11-3031.00	1.B.1.c	Artistic	OI	1.54	11/2023	Machine Learning
11-3031.00	1.B.1.d	Social	OI	2.93	11/2023	Machine Learning
11-3031.00	1.B.1.e	Enterprising	OI	7.00	11/2023	Machine Learning
11-3031.00	1.B.1.f	Conventional	OI	5.70	11/2023	Machine Learning
11-3031.00	1.B.1.g	First Interest High-Point	IH	5.00	11/2023	Machine Learning
11-3031.00	1.B.1.h	Second Interest High-Point	IH	6.00	11/2023	Machine Learning
11-3031.00	1.B.1.i	Third Interest High-Point	IH	0.00	11/2023	Machine Learning
11-3031.01	1.B.1.a	Realistic	OI	1.00	11/2023	Machine Learning
11-3031.01	1.B.1.b	Investigative	OI	2.40	11/2023	Machine Learning
11-3031.01	1.B.1.c	Artistic	OI	1.28	11/2023	Machine Learning
11-3031.01	1.B.1.d	Social	OI	2.70	11/2023	Machine Learning
11-3031.01	1.B.1.e	Enterprising	OI	6.22	11/2023	Machine Learning
11-3031.01	1.B.1.f	Conventional	OI	6.15	11/2023	Machine Learning
11-3031.01	1.B.1.g	First Interest High-Point	IH	5.00	11/2023	Machine Learning
11-3031.01	1.B.1.h	Second Interest High-Point	IH	6.00	11/2023	Machine Learning
11-3031.01	1.B.1.i	Third Interest High-Point	IH	0.00	11/2023	Machine Learning
11-3031.03	1.B.1.a	Realistic	OI	1.66	11/2023	Machine Learning
11-3031.03	1.B.1.b	Investigative	OI	3.71	11/2023	Machine Learning
11-3031.03	1.B.1.c	Artistic	OI	1.47	11/2023	Machine Learning
11-3031.03	1.B.1.d	Social	OI	2.56	11/2023	Machine Learning
11-3031.03	1.B.1.e	Enterprising	OI	6.77	11/2023	Machine Learning
11-3031.03	1.B.1.f	Conventional	OI	5.25	11/2023	Machine Learning
11-3031.03	1.B.1.g	First Interest High-Point	IH	5.00	11/2023	Machine Learning
11-3031.03	1.B.1.h	Second Interest High-Point	IH	6.00	11/2023	Machine Learning
11-3031.03	1.B.1.i	Third Interest High-Point	IH	2.00	11/2023	Machine Learning
11-3051.00	1.B.1.a	Realistic	OI	4.23	11/2023	Machine Learning
11-3051.00	1.B.1.b	Investigative	OI	2.94	11/2023	Machine Learning
11-3051.00	1.B.1.c	Artistic	OI	1.33	11/2023	Machine Learning
11-3051.00	1.B.1.d	Social	OI	1.83	11/2023	Machine Learning
11-3051.00	1.B.1.e	Enterprising	OI	5.92	11/2023	Machine Learning
11-3051.00	1.B.1.f	Conventional	OI	5.29	11/2023	Machine Learning
11-3051.00	1.B.1.g	First Interest High-Point	IH	5.00	11/2023	Machine Learning
11-3051.00	1.B.1.h	Second Interest High-Point	IH	6.00	11/2023	Machine Learning
11-3051.00	1.B.1.i	Third Interest High-Point	IH	1.00	11/2023	Machine Learning
11-3051.01	1.B.1.a	Realistic	OI	3.60	11/2023	Machine Learning
11-3051.01	1.B.1.b	Investigative	OI	4.02	11/2023	Machine Learning
11-3051.01	1.B.1.c	Artistic	OI	1.17	11/2023	Machine Learning
11-3051.01	1.B.1.d	Social	OI	2.07	11/2023	Machine Learning
11-3051.01	1.B.1.e	Enterprising	OI	5.05	11/2023	Machine Learning
11-3051.01	1.B.1.f	Conventional	OI	5.70	11/2023	Machine Learning
11-3051.01	1.B.1.g	First Interest High-Point	IH	6.00	11/2023	Machine Learning
11-3051.01	1.B.1.h	Second Interest High-Point	IH	5.00	11/2023	Machine Learning
11-3051.01	1.B.1.i	Third Interest High-Point	IH	2.00	11/2023	Machine Learning
11-3051.02	1.B.1.a	Realistic	OI	5.35	11/2023	Machine Learning
11-3051.02	1.B.1.b	Investigative	OI	3.35	11/2023	Machine Learning
11-3051.02	1.B.1.c	Artistic	OI	1.00	11/2023	Machine Learning
11-3051.02	1.B.1.d	Social	OI	2.07	11/2023	Machine Learning
11-3051.02	1.B.1.e	Enterprising	OI	4.58	11/2023	Machine Learning
11-3051.02	1.B.1.f	Conventional	OI	4.82	11/2023	Machine Learning
11-3051.02	1.B.1.g	First Interest High-Point	IH	1.00	11/2023	Machine Learning
11-3051.02	1.B.1.h	Second Interest High-Point	IH	6.00	11/2023	Machine Learning
11-3051.02	1.B.1.i	Third Interest High-Point	IH	5.00	11/2023	Machine Learning
11-3051.03	1.B.1.a	Realistic	OI	4.59	11/2023	Machine Learning
11-3051.03	1.B.1.b	Investigative	OI	3.74	11/2023	Machine Learning
11-3051.03	1.B.1.c	Artistic	OI	1.00	11/2023	Machine Learning
11-3051.03	1.B.1.d	Social	OI	1.83	11/2023	Machine Learning
11-3051.03	1.B.1.e	Enterprising	OI	5.41	11/2023	Machine Learning
11-3051.03	1.B.1.f	Conventional	OI	5.06	11/2023	Machine Learning
11-3051.03	1.B.1.g	First Interest High-Point	IH	5.00	11/2023	Machine Learning
11-3051.03	1.B.1.h	Second Interest High-Point	IH	6.00	11/2023	Machine Learning
11-3051.03	1.B.1.i	Third Interest High-Point	IH	1.00	11/2023	Machine Learning
11-3051.04	1.B.1.a	Realistic	OI	5.12	11/2023	Machine Learning
11-3051.04	1.B.1.b	Investigative	OI	3.19	11/2023	Machine Learning
11-3051.04	1.B.1.c	Artistic	OI	1.00	11/2023	Machine Learning
11-3051.04	1.B.1.d	Social	OI	1.72	11/2023	Machine Learning
11-3051.04	1.B.1.e	Enterprising	OI	4.86	11/2023	Machine Learning
11-3051.04	1.B.1.f	Conventional	OI	5.34	11/2023	Machine Learning
11-3051.04	1.B.1.g	First Interest High-Point	IH	6.00	11/2023	Machine Learning
11-3051.04	1.B.1.h	Second Interest High-Point	IH	1.00	11/2023	Machine Learning
11-3051.04	1.B.1.i	Third Interest High-Point	IH	5.00	11/2023	Machine Learning
11-3051.06	1.B.1.a	Realistic	OI	5.37	11/2023	Machine Learning
11-3051.06	1.B.1.b	Investigative	OI	3.64	11/2023	Machine Learning
11-3051.06	1.B.1.c	Artistic	OI	1.00	11/2023	Machine Learning
11-3051.06	1.B.1.d	Social	OI	1.83	11/2023	Machine Learning
11-3051.06	1.B.1.e	Enterprising	OI	4.57	11/2023	Machine Learning
11-3051.06	1.B.1.f	Conventional	OI	5.02	11/2023	Machine Learning
11-3051.06	1.B.1.g	First Interest High-Point	IH	1.00	11/2023	Machine Learning
11-3051.06	1.B.1.h	Second Interest High-Point	IH	6.00	11/2023	Machine Learning
11-3051.06	1.B.1.i	Third Interest High-Point	IH	5.00	11/2023	Machine Learning
11-3061.00	1.B.1.a	Realistic	OI	2.04	11/2023	Machine Learning
11-3061.00	1.B.1.b	Investigative	OI	2.01	11/2023	Machine Learning
11-3061.00	1.B.1.c	Artistic	OI	1.40	11/2023	Machine Learning
11-3061.00	1.B.1.d	Social	OI	2.77	11/2023	Machine Learning
11-3061.00	1.B.1.e	Enterprising	OI	7.00	11/2023	Machine Learning
11-3061.00	1.B.1.f	Conventional	OI	5.55	11/2023	Machine Learning
11-3061.00	1.B.1.g	First Interest High-Point	IH	5.00	11/2023	Machine Learning
11-3061.00	1.B.1.h	Second Interest High-Point	IH	6.00	11/2023	Machine Learning
11-3061.00	1.B.1.i	Third Interest High-Point	IH	0.00	11/2023	Machine Learning
11-3071.00	1.B.1.a	Realistic	OI	3.60	11/2023	Machine Learning
11-3071.00	1.B.1.b	Investigative	OI	2.64	11/2023	Machine Learning
11-3071.00	1.B.1.c	Artistic	OI	1.00	11/2023	Machine Learning
11-3071.00	1.B.1.d	Social	OI	2.39	11/2023	Machine Learning
11-3071.00	1.B.1.e	Enterprising	OI	6.00	11/2023	Machine Learning
11-3071.00	1.B.1.f	Conventional	OI	5.74	11/2023	Machine Learning
11-3071.00	1.B.1.g	First Interest High-Point	IH	5.00	11/2023	Machine Learning
11-3071.00	1.B.1.h	Second Interest High-Point	IH	6.00	11/2023	Machine Learning
11-3071.00	1.B.1.i	Third Interest High-Point	IH	0.00	11/2023	Machine Learning
11-3071.04	1.B.1.a	Realistic	OI	3.42	11/2023	Machine Learning
11-3071.04	1.B.1.b	Investigative	OI	2.55	11/2023	Machine Learning
11-3071.04	1.B.1.c	Artistic	OI	1.00	11/2023	Machine Learning
11-3071.04	1.B.1.d	Social	OI	2.05	11/2023	Machine Learning
11-3071.04	1.B.1.e	Enterprising	OI	6.31	11/2023	Machine Learning
11-3071.04	1.B.1.f	Conventional	OI	5.40	11/2023	Machine Learning
11-3071.04	1.B.1.g	First Interest High-Point	IH	5.00	11/2023	Machine Learning
11-3071.04	1.B.1.h	Second Interest High-Point	IH	6.00	11/2023	Machine Learning
11-3071.04	1.B.1.i	Third Interest High-Point	IH	0.00	11/2023	Machine Learning
11-3111.00	1.B.1.a	Realistic	OI	1.00	11/2023	Machine Learning
11-3111.00	1.B.1.b	Investigative	OI	2.44	11/2023	Machine Learning
11-3111.00	1.B.1.c	Artistic	OI	1.49	11/2023	Machine Learning
11-3111.00	1.B.1.d	Social	OI	3.69	11/2023	Machine Learning
11-3111.00	1.B.1.e	Enterprising	OI	7.00	11/2023	Machine Learning
11-3111.00	1.B.1.f	Conventional	OI	5.56	11/2023	Machine Learning
11-3111.00	1.B.1.g	First Interest High-Point	IH	5.00	11/2023	Machine Learning
11-3111.00	1.B.1.h	Second Interest High-Point	IH	6.00	11/2023	Machine Learning
11-3111.00	1.B.1.i	Third Interest High-Point	IH	4.00	11/2023	Machine Learning
11-3121.00	1.B.1.a	Realistic	OI	1.09	11/2023	Machine Learning
11-3121.00	1.B.1.b	Investigative	OI	2.68	11/2023	Machine Learning
11-3121.00	1.B.1.c	Artistic	OI	1.71	11/2023	Machine Learning
11-3121.00	1.B.1.d	Social	OI	3.88	11/2023	Machine Learning
11-3121.00	1.B.1.e	Enterprising	OI	7.00	11/2023	Machine Learning
11-3121.00	1.B.1.f	Conventional	OI	5.19	11/2023	Machine Learning
11-3121.00	1.B.1.g	First Interest High-Point	IH	5.00	11/2023	Machine Learning
11-3121.00	1.B.1.h	Second Interest High-Point	IH	6.00	11/2023	Machine Learning
11-3121.00	1.B.1.i	Third Interest High-Point	IH	4.00	11/2023	Machine Learning
11-3131.00	1.B.1.a	Realistic	OI	1.95	11/2023	Machine Learning
11-3131.00	1.B.1.b	Investigative	OI	3.26	11/2023	Machine Learning
11-3131.00	1.B.1.c	Artistic	OI	2.62	11/2023	Machine Learning
11-3131.00	1.B.1.d	Social	OI	5.54	11/2023	Machine Learning
11-3131.00	1.B.1.e	Enterprising	OI	6.35	11/2023	Machine Learning
11-3131.00	1.B.1.f	Conventional	OI	3.93	11/2023	Machine Learning
11-3131.00	1.B.1.g	First Interest High-Point	IH	5.00	11/2023	Machine Learning
11-3131.00	1.B.1.h	Second Interest High-Point	IH	4.00	11/2023	Machine Learning
11-3131.00	1.B.1.i	Third Interest High-Point	IH	0.00	11/2023	Machine Learning
11-9013.00	1.B.1.a	Realistic	OI	5.16	11/2023	Machine Learning
11-9013.00	1.B.1.b	Investigative	OI	2.77	11/2023	Machine Learning
11-9013.00	1.B.1.c	Artistic	OI	1.04	11/2023	Machine Learning
11-9013.00	1.B.1.d	Social	OI	2.63	11/2023	Machine Learning
11-9013.00	1.B.1.e	Enterprising	OI	5.54	11/2023	Machine Learning
11-9013.00	1.B.1.f	Conventional	OI	4.51	11/2023	Machine Learning
11-9013.00	1.B.1.g	First Interest High-Point	IH	5.00	11/2023	Machine Learning
11-9013.00	1.B.1.h	Second Interest High-Point	IH	1.00	11/2023	Machine Learning
11-9013.00	1.B.1.i	Third Interest High-Point	IH	6.00	11/2023	Machine Learning
11-9021.00	1.B.1.a	Realistic	OI	4.69	11/2023	Machine Learning
11-9021.00	1.B.1.b	Investigative	OI	3.08	11/2023	Machine Learning
11-9021.00	1.B.1.c	Artistic	OI	1.73	11/2023	Machine Learning
11-9021.00	1.B.1.d	Social	OI	2.34	11/2023	Machine Learning
11-9021.00	1.B.1.e	Enterprising	OI	5.74	11/2023	Machine Learning
11-9021.00	1.B.1.f	Conventional	OI	4.81	11/2023	Machine Learning
11-9021.00	1.B.1.g	First Interest High-Point	IH	5.00	11/2023	Machine Learning
11-9021.00	1.B.1.h	Second Interest High-Point	IH	6.00	11/2023	Machine Learning
11-9021.00	1.B.1.i	Third Interest High-Point	IH	1.00	11/2023	Machine Learning
11-9031.00	1.B.1.a	Realistic	OI	1.08	11/2023	Machine Learning
11-9031.00	1.B.1.b	Investigative	OI	3.03	11/2023	Machine Learning
11-9031.00	1.B.1.c	Artistic	OI	2.88	11/2023	Machine Learning
11-9031.00	1.B.1.d	Social	OI	6.60	11/2023	Machine Learning
11-9031.00	1.B.1.e	Enterprising	OI	4.76	11/2023	Machine Learning
11-9031.00	1.B.1.f	Conventional	OI	4.28	11/2023	Machine Learning
11-9031.00	1.B.1.g	First Interest High-Point	IH	4.00	11/2023	Machine Learning
11-9031.00	1.B.1.h	Second Interest High-Point	IH	5.00	11/2023	Machine Learning
11-9031.00	1.B.1.i	Third Interest High-Point	IH	6.00	11/2023	Machine Learning
11-9032.00	1.B.1.a	Realistic	OI	1.18	11/2023	Machine Learning
11-9032.00	1.B.1.b	Investigative	OI	3.32	11/2023	Machine Learning
11-9032.00	1.B.1.c	Artistic	OI	2.95	11/2023	Machine Learning
11-9032.00	1.B.1.d	Social	OI	5.87	11/2023	Machine Learning
11-9032.00	1.B.1.e	Enterprising	OI	5.17	11/2023	Machine Learning
11-9032.00	1.B.1.f	Conventional	OI	4.48	11/2023	Machine Learning
11-9032.00	1.B.1.g	First Interest High-Point	IH	4.00	11/2023	Machine Learning
11-9032.00	1.B.1.h	Second Interest High-Point	IH	5.00	11/2023	Machine Learning
11-9032.00	1.B.1.i	Third Interest High-Point	IH	6.00	11/2023	Machine Learning
11-9033.00	1.B.1.a	Realistic	OI	1.00	11/2023	Machine Learning
11-9033.00	1.B.1.b	Investigative	OI	4.00	11/2023	Machine Learning
11-9033.00	1.B.1.c	Artistic	OI	2.91	11/2023	Machine Learning
11-9033.00	1.B.1.d	Social	OI	5.80	11/2023	Machine Learning
11-9033.00	1.B.1.e	Enterprising	OI	5.19	11/2023	Machine Learning
11-9033.00	1.B.1.f	Conventional	OI	4.67	11/2023	Machine Learning
11-9033.00	1.B.1.g	First Interest High-Point	IH	4.00	11/2023	Machine Learning
11-9033.00	1.B.1.h	Second Interest High-Point	IH	5.00	11/2023	Machine Learning
11-9033.00	1.B.1.i	Third Interest High-Point	IH	6.00	11/2023	Machine Learning
11-9041.00	1.B.1.a	Realistic	OI	3.17	11/2023	Machine Learning
11-9041.00	1.B.1.b	Investigative	OI	4.46	11/2023	Machine Learning
11-9041.00	1.B.1.c	Artistic	OI	2.66	11/2023	Machine Learning
11-9041.00	1.B.1.d	Social	OI	2.84	11/2023	Machine Learning
11-9041.00	1.B.1.e	Enterprising	OI	6.38	11/2023	Machine Learning
11-9041.00	1.B.1.f	Conventional	OI	4.58	11/2023	Machine Learning
11-9041.00	1.B.1.g	First Interest High-Point	IH	5.00	11/2023	Machine Learning
11-9041.00	1.B.1.h	Second Interest High-Point	IH	6.00	11/2023	Machine Learning
11-9041.00	1.B.1.i	Third Interest High-Point	IH	2.00	11/2023	Machine Learning
11-9041.01	1.B.1.a	Realistic	OI	4.16	11/2023	Machine Learning
11-9041.01	1.B.1.b	Investigative	OI	5.84	11/2023	Machine Learning
11-9041.01	1.B.1.c	Artistic	OI	2.11	11/2023	Machine Learning
11-9041.01	1.B.1.d	Social	OI	2.10	11/2023	Machine Learning
11-9041.01	1.B.1.e	Enterprising	OI	4.70	11/2023	Machine Learning
11-9041.01	1.B.1.f	Conventional	OI	3.51	11/2023	Machine Learning
11-9041.01	1.B.1.g	First Interest High-Point	IH	2.00	11/2023	Machine Learning
11-9041.01	1.B.1.h	Second Interest High-Point	IH	5.00	11/2023	Machine Learning
11-9041.01	1.B.1.i	Third Interest High-Point	IH	1.00	11/2023	Machine Learning
11-9051.00	1.B.1.a	Realistic	OI	3.96	11/2023	Machine Learning
11-9051.00	1.B.1.b	Investigative	OI	1.86	11/2023	Machine Learning
11-9051.00	1.B.1.c	Artistic	OI	1.59	11/2023	Machine Learning
11-9051.00	1.B.1.d	Social	OI	3.51	11/2023	Machine Learning
11-9051.00	1.B.1.e	Enterprising	OI	5.95	11/2023	Machine Learning
11-9051.00	1.B.1.f	Conventional	OI	5.29	11/2023	Machine Learning
11-9051.00	1.B.1.g	First Interest High-Point	IH	5.00	11/2023	Machine Learning
11-9051.00	1.B.1.h	Second Interest High-Point	IH	6.00	11/2023	Machine Learning
11-9051.00	1.B.1.i	Third Interest High-Point	IH	1.00	11/2023	Machine Learning
11-9071.00	1.B.1.a	Realistic	OI	2.94	11/2023	Machine Learning
11-9071.00	1.B.1.b	Investigative	OI	1.32	11/2023	Machine Learning
11-9071.00	1.B.1.c	Artistic	OI	1.00	11/2023	Machine Learning
11-9071.00	1.B.1.d	Social	OI	2.63	11/2023	Machine Learning
11-9071.00	1.B.1.e	Enterprising	OI	6.71	11/2023	Machine Learning
11-9071.00	1.B.1.f	Conventional	OI	5.44	11/2023	Machine Learning
11-9071.00	1.B.1.g	First Interest High-Point	IH	5.00	11/2023	Machine Learning
11-9071.00	1.B.1.h	Second Interest High-Point	IH	6.00	11/2023	Machine Learning
11-9071.00	1.B.1.i	Third Interest High-Point	IH	0.00	11/2023	Machine Learning
11-9072.00	1.B.1.a	Realistic	OI	4.11	11/2023	Machine Learning
11-9072.00	1.B.1.b	Investigative	OI	2.04	11/2023	Machine Learning
11-9072.00	1.B.1.c	Artistic	OI	1.88	11/2023	Machine Learning
11-9072.00	1.B.1.d	Social	OI	3.55	11/2023	Machine Learning
11-9072.00	1.B.1.e	Enterprising	OI	5.86	11/2023	Machine Learning
11-9072.00	1.B.1.f	Conventional	OI	4.78	11/2023	Machine Learning
11-9072.00	1.B.1.g	First Interest High-Point	IH	5.00	11/2023	Machine Learning
11-9072.00	1.B.1.h	Second Interest High-Point	IH	6.00	11/2023	Machine Learning
11-9072.00	1.B.1.i	Third Interest High-Point	IH	1.00	11/2023	Machine Learning
11-9081.00	1.B.1.a	Realistic	OI	2.45	11/2023	Machine Learning
11-9081.00	1.B.1.b	Investigative	OI	1.17	11/2023	Machine Learning
